 # Cycle    Energy/N    Magnetization/N
           2 -0.848888874       2.88888887E-02
        1530  -1.60888886      0.831111133    
        1532  -1.58222222      0.846666694    
        1534  -1.59555554      0.857777774    
        1536  -1.79111111      0.920000017    
        1538  -1.75999999      0.931111097    
        1540  -1.77333331      0.928888917    
        1542  -1.68444443      0.888888896    
        1544  -1.61333334      0.873333335    
        1546  -1.63999999      0.871111095    
        1548  -1.66222227      0.884444416    
        1550  -1.67555559      0.895555556    
        1552  -1.72444439      0.920000017    
        1554  -1.73777783      0.913333356    
        1556  -1.75999999      0.920000017    
        1558  -1.72888887      0.915555537    
        1560  -1.68888891      0.895555556    
        1562  -1.73777783      0.924444437    
        1564  -1.76888883      0.922222197    
        1566  -1.65777779      0.862222195    
        1568  -1.67555559      0.860000014    
        1570  -1.67111111      0.864444435    
