 # Cycle    Energy/N    Magnetization/N
           2 -0.919600010      -9.99999978E-03
         928  -1.69400001       3.09999995E-02
         930  -1.69360006       2.23999992E-02
         932  -1.65279996       2.80000009E-02
         934  -1.68760002       2.31999997E-02
         936  -1.69480002       3.13999988E-02
         938  -1.67680001       2.18000002E-02
         940  -1.69079995       2.82000005E-02
         942  -1.69079995       3.04000005E-02
         944  -1.68359995       1.97999999E-02
         946  -1.69640005       2.55999994E-02
         948  -1.70760000       9.20000020E-03
         950  -1.70959997       6.59999996E-03
         952  -1.73599994       1.18000004E-02
         954  -1.73000002       1.75999999E-02
         956  -1.70000005       1.96000002E-02
         958  -1.68599999       1.77999996E-02
         960  -1.69879997       1.89999994E-02
         962  -1.70439994       2.33999994E-02
         964  -1.71319997       3.29999998E-02
         966  -1.69760001       3.72000001E-02
         968  -1.71519995       4.06000018E-02
         970  -1.70039999       4.82000001E-02
         972  -1.70519996       4.16000001E-02
         974  -1.70679998       3.73999998E-02
         976  -1.72239995       4.80000004E-02
         978  -1.72720003       3.97999994E-02
         980  -1.69159997       3.88000011E-02
         982  -1.69959998       2.94000003E-02
         984  -1.69239998       2.96000000E-02
         986  -1.68719995       4.58000004E-02
         988  -1.68239999       4.65999991E-02
         990  -1.69480002       4.08000015E-02
         992  -1.70760000       4.25999984E-02
         994  -1.71679997       1.72000006E-02
         996  -1.71000004       1.96000002E-02
         998  -1.71640003       3.37999985E-02
        1000  -1.69920003       2.38000005E-02
        1002  -1.72399998       2.87999995E-02
        1004  -1.70360005       3.55999991E-02
        1006  -1.71080005       3.50000001E-02
        1008  -1.70959997       3.57999988E-02
        1010  -1.71679997       3.07999998E-02
        1012  -1.69879997       3.81999984E-02
        1014  -1.69640005       4.23999988E-02
        1016  -1.70840001       3.92000005E-02
        1018  -1.72000003       2.23999992E-02
        1020  -1.70799994       2.99999993E-02
        1022  -1.71759999       3.62000018E-02
        1024  -1.70360005       3.31999995E-02
        1026  -1.69879997       1.65999997E-02
        1028  -1.70640004       3.66000012E-02
        1030  -1.68920004       2.41999999E-02
        1032  -1.69519997       3.37999985E-02
        1034  -1.70159996       3.75999995E-02
        1036  -1.70480001       2.75999997E-02
        1038  -1.70079994       2.30000000E-02
        1040  -1.67600000       2.21999995E-02
        1042  -1.70159996       2.53999997E-02
        1044  -1.71120000       1.99999996E-02
        1046  -1.70280004       3.42000015E-02
        1048  -1.70799994       3.26000005E-02
        1050  -1.69079995       3.48000005E-02
        1052  -1.68359995       2.18000002E-02
        1054  -1.69959998       1.96000002E-02
        1056  -1.71879995       2.16000006E-02
        1058  -1.69360006       2.63999999E-02
        1060  -1.68840003       2.53999997E-02
        1062  -1.69159997       2.62000002E-02
        1064  -1.69920003       2.92000007E-02
        1066  -1.68560004       3.11999992E-02
        1068  -1.70760000       2.65999995E-02
        1070  -1.70560002       2.26000007E-02
        1072  -1.68680000       2.50000004E-02
        1074  -1.66559994       2.04000007E-02
        1076  -1.69920003       2.09999997E-02
        1078  -1.68239999       1.24000004E-02
        1080  -1.69079995       2.09999997E-02
        1082  -1.70200002       1.20000001E-02
        1084  -1.71640003       1.48000000E-02
        1086  -1.71319997       2.11999994E-02
        1088  -1.70799994       2.80000009E-02
        1090  -1.70360005       2.62000002E-02
        1092  -1.71800005       2.67999992E-02
        1094  -1.71120000       1.84000004E-02
        1096  -1.69640005       1.53999999E-02
        1098  -1.70000005       1.48000000E-02
        1100  -1.71560001       5.40000014E-03
        1102  -1.70039999       3.80000006E-03
        1104  -1.69120002       4.19999985E-03
        1106  -1.67920005       1.99999995E-04
        1108  -1.70679998      -1.21999998E-02
        1110  -1.71280003      -2.01999992E-02
        1112  -1.70480001      -3.68000008E-02
        1114  -1.71800005      -4.08000015E-02
        1116  -1.68719995      -3.94000001E-02
        1118  -1.71159995      -4.16000001E-02
        1120  -1.70239997      -3.70000005E-02
        1122  -1.68799996      -2.48000007E-02
        1124  -1.69760001      -1.26000000E-02
        1126  -1.67519999      -1.43999998E-02
        1128  -1.69360006      -1.67999994E-02
        1130  -1.70480001      -1.24000004E-02
        1132  -1.68879998      -1.26000000E-02
        1134  -1.69239998      -1.57999992E-02
        1136  -1.70000005      -2.62000002E-02
        1138  -1.68280005      -2.04000007E-02
        1140  -1.70120001      -2.85999998E-02
