 # Cycle    Energy/N    Magnetization/N
        1092  -1.91999996     -0.980000019    
        1094  -1.91999996     -0.980000019    
        1096  -1.84000003     -0.939999998    
        1098  -1.88000000     -0.959999979    
        1100  -1.72000003     -0.920000017    
        1102  -1.67999995     -0.899999976    
        1104  -1.72000003     -0.920000017    
        1106  -1.84000003     -0.959999979    
        1108  -1.84000003     -0.959999979    
        1110  -1.84000003     -0.959999979    
        1112  -1.51999998     -0.860000014    
        1114  -1.36000001     -0.779999971    
        1116  -1.27999997     -0.759999990    
        1118  -1.63999999     -0.879999995    
        1120  -1.88000000     -0.959999979    
        1122  -1.75999999     -0.939999998    
        1124  -1.84000003     -0.959999979    
        1126  -1.91999996     -0.980000019    
        1128  -1.67999995     -0.879999995    
        1130  -1.67999995     -0.879999995    
        1132  -1.63999999     -0.839999974    
        1134  -1.75999999     -0.899999976    
        1136  -1.60000002     -0.860000014    
        1138  -1.63999999     -0.899999976    
        1140  -1.79999995     -0.939999998    
        1142  -2.00000000      -1.00000000    
        1144  -1.91999996     -0.980000019    
        1146  -1.84000003     -0.959999979    
        1148  -1.88000000     -0.959999979    
        1150  -1.91999996     -0.980000019    
        1152  -1.84000003     -0.959999979    
        1154  -1.88000000     -0.959999979    
        1156  -1.75999999     -0.920000017    
        1158  -1.75999999     -0.939999998    
        1160  -1.79999995     -0.939999998    
        1162  -1.79999995     -0.939999998    
        1164  -1.91999996     -0.980000019    
        1166  -1.75999999     -0.939999998    
        1168  -1.55999994     -0.839999974    
        1170  -1.63999999     -0.879999995    
        1172  -1.55999994     -0.860000014    
        1174  -1.72000003     -0.920000017    
        1176  -1.67999995     -0.920000017    
        1178  -1.44000006     -0.740000010    
        1180  -1.44000006     -0.720000029    
        1182  -1.39999998     -0.740000010    
        1184  -1.75999999     -0.920000017    
        1186  -1.91999996     -0.980000019    
        1188  -1.88000000     -0.959999979    
        1190  -1.91999996     -0.980000019    
        1192  -1.75999999     -0.939999998    
        1194  -1.91999996     -0.980000019    
        1196  -1.91999996     -0.980000019    
        1198  -1.72000003     -0.920000017    
        1200  -1.67999995     -0.920000017    
