#  i    Total    Potential    Kinetic    Temperature   Pressure
 324  -0.618131   -2.86813       2.25        1.5   0.402221
 325  -0.617105   -2.86711       2.25        1.5   0.398263
 326  -0.616078   -2.86608       2.25        1.5   0.394669
 327  -0.615035   -2.86503       2.25        1.5   0.391116
 328  -0.613964   -2.86396       2.25        1.5   0.387434
 329  -0.612854   -2.86285       2.25        1.5   0.383875
 330  -0.611694   -2.86169       2.25        1.5   0.380536
 331  -0.610476   -2.86048       2.25        1.5    0.37716
 332  -0.609192   -2.85919       2.25        1.5   0.373915
 333  -0.607838   -2.85784       2.25        1.5   0.370889
 334  -0.60641   -2.85641       2.25        1.5    0.36801
 335  -0.604905   -2.85491       2.25        1.5   0.365515
 336  -0.603324   -2.85332       2.25        1.5   0.362824
 337  -0.601668   -2.85167       2.25        1.5    0.36044
 338  -0.599937   -2.84994       2.25        1.5   0.358089
 339  -0.598134   -2.84813       2.25        1.5    0.35596
 340  -0.596264   -2.84626       2.25        1.5   0.354046
 341  -0.594331   -2.84433       2.25        1.5   0.352067
 342  -0.592342   -2.84234       2.25        1.5   0.350322
 343  -0.590304    -2.8403       2.25        1.5   0.348684
 344  -0.588223   -2.83822       2.25        1.5   0.347022
 345  -0.586109   -2.83611       2.25        1.5    0.34544
 346  -0.583968   -2.83397       2.25        1.5      0.344
 347  -0.581809   -2.83181       2.25        1.5   0.342571
 348  -0.579643   -2.82964       2.25        1.5   0.341058
 349  -0.577478   -2.82748       2.25        1.5    0.33987
 350  -0.575324   -2.82532       2.25        1.5   0.338602
 351  -0.57319   -2.82319       2.25        1.5   0.337237
 352  -0.571088   -2.82109       2.25        1.5   0.335604
 353  -0.569027   -2.81903       2.25        1.5   0.334227
 354  -0.567016   -2.81702       2.25        1.5   0.332857
 355  -0.565062   -2.81506       2.25        1.5   0.331249
 356  -0.563173   -2.81317       2.25        1.5   0.329622
 357  -0.561355   -2.81136       2.25        1.5   0.327887
 358  -0.559615   -2.80961       2.25        1.5   0.325958
 359  -0.557955   -2.80795       2.25        1.5   0.323905
 360  -0.556379   -2.80638       2.25        1.5   0.321917
 361  -0.55489   -2.80489       2.25        1.5   0.319566
 362  -0.553486   -2.80349       2.25        1.5   0.317124
 363  -0.552166   -2.80217       2.25        1.5   0.314633
 364  -0.550926   -2.80093       2.25        1.5   0.311946
 365  -0.549762   -2.79976       2.25        1.5   0.309227
 366  -0.548667   -2.79867       2.25        1.5   0.306488
 367  -0.547631   -2.79763       2.25        1.5   0.303744
 368  -0.546647   -2.79665       2.25        1.5   0.300739
 369  -0.545704    -2.7957       2.25        1.5   0.297801
 370  -0.544793   -2.79479       2.25        1.5   0.294639
 371  -0.543902    -2.7939       2.25        1.5   0.291542
 372  -0.543024   -2.79302       2.25        1.5   0.288255
 373  -0.542148   -2.79215       2.25        1.5   0.285185
 374  -0.541264   -2.79126       2.25        1.5   0.282116
 375  -0.540365   -2.79036       2.25        1.5   0.279333
 376  -0.539444   -2.78944       2.25        1.5   0.276463
 377  -0.538493   -2.78849       2.25        1.5   0.273633
 378  -0.53751   -2.78751       2.25        1.5   0.270966
 379  -0.536491   -2.78649       2.25        1.5   0.268198
 380  -0.535436   -2.78544       2.25        1.5   0.265601
 381  -0.534346   -2.78435       2.25        1.5   0.263173
 382  -0.533222   -2.78322       2.25        1.5   0.260719
 383  -0.532069   -2.78207       2.25        1.5   0.258426
 384  -0.530892   -2.78089       2.25        1.5   0.256283
 385  -0.529698    -2.7797       2.25        1.5   0.254242
 386  -0.528494   -2.77849       2.25        1.5   0.252057
 387  -0.527288   -2.77729       2.25        1.5   0.249946
 388  -0.52609   -2.77609       2.25        1.5   0.248008
 389  -0.524911   -2.77491       2.25        1.5   0.245957
 390  -0.523758   -2.77376       2.25        1.5    0.24397
 391  -0.522641   -2.77264       2.25        1.5   0.241917
 392  -0.521568   -2.77157       2.25        1.5   0.239822
 393  -0.520545   -2.77054       2.25        1.5   0.237789
 394  -0.519579   -2.76958       2.25        1.5   0.235615
 395  -0.518674   -2.76867       2.25        1.5   0.233215
 396  -0.517832   -2.76783       2.25        1.5   0.230662
 397  -0.517055   -2.76705       2.25        1.5   0.228223
 398  -0.516343   -2.76634       2.25        1.5   0.225552
 399  -0.515695   -2.76569       2.25        1.5   0.222999
 400  -0.515107   -2.76511       2.25        1.5   0.220377
 401  -0.514577   -2.76458       2.25        1.5   0.217536
 402  -0.514098    -2.7641       2.25        1.5   0.214642
 403  -0.513667   -2.76367       2.25        1.5   0.211896
 404  -0.513278   -2.76328       2.25        1.5   0.208923
 405  -0.512922   -2.76292       2.25        1.5   0.205891
 406  -0.512595   -2.76259       2.25        1.5   0.203119
 407  -0.512287   -2.76229       2.25        1.5   0.200351
 408  -0.511994   -2.76199       2.25        1.5   0.197405
 409  -0.511709   -2.76171       2.25        1.5   0.194522
 410  -0.511427   -2.76143       2.25        1.5   0.191482
 411  -0.511142   -2.76114       2.25        1.5   0.188642
 412  -0.510849   -2.76085       2.25        1.5   0.185974
 413  -0.510544   -2.76054       2.25        1.5   0.183253
 414  -0.510221   -2.76022       2.25        1.5    0.18068
 415  -0.509879   -2.75988       2.25        1.5   0.178223
 416  -0.509514   -2.75951       2.25        1.5   0.175772
 417  -0.509122   -2.75912       2.25        1.5   0.173371
 418  -0.508701    -2.7587       2.25        1.5   0.171295
 419  -0.508251   -2.75825       2.25        1.5     0.1692
 420  -0.507768   -2.75777       2.25        1.5   0.167167
 421  -0.507249   -2.75725       2.25        1.5   0.165199
 422  -0.506695   -2.75669       2.25        1.5   0.163453
 423  -0.506104    -2.7561       2.25        1.5   0.161738
 424  -0.505475   -2.75548       2.25        1.5   0.160094
 425  -0.504808   -2.75481       2.25        1.5   0.158523
 426  -0.504103    -2.7541       2.25        1.5   0.157255
 427  -0.503361   -2.75336       2.25        1.5   0.155673
 428  -0.502581   -2.75258       2.25        1.5   0.154551
 429  -0.501761   -2.75176       2.25        1.5   0.153464
 430  -0.500901    -2.7509       2.25        1.5   0.152489
 431  -0.500003      -2.75       2.25        1.5   0.151588
 432  -0.499064   -2.74906       2.25        1.5   0.150798
 433  -0.498087   -2.74809       2.25        1.5   0.150235
 434  -0.497072   -2.74707       2.25        1.5   0.149511
 435  -0.49602   -2.74602       2.25        1.5   0.149011
 436  -0.494931   -2.74493       2.25        1.5   0.148695
 437  -0.493806   -2.74381       2.25        1.5   0.148447
 438  -0.492644   -2.74264       2.25        1.5   0.148383
 439  -0.491445   -2.74145       2.25        1.5   0.148347
 440  -0.49021   -2.74021       2.25        1.5   0.148415
 441  -0.48894   -2.73894       2.25        1.5   0.148586
 442  -0.487634   -2.73763       2.25        1.5   0.148743
 443  -0.486293   -2.73629       2.25        1.5   0.149271
 444  -0.484917   -2.73492       2.25        1.5   0.149706
 445  -0.483507   -2.73351       2.25        1.5   0.150316
 446  -0.482062   -2.73206       2.25        1.5   0.150945
 447  -0.480585   -2.73058       2.25        1.5   0.151785
 448  -0.479076   -2.72908       2.25        1.5   0.152755
 449  -0.477537   -2.72754       2.25        1.5   0.153774
 450  -0.475968   -2.72597       2.25        1.5   0.154648
 451  -0.474371   -2.72437       2.25        1.5   0.155875
 452  -0.472748   -2.72275       2.25        1.5   0.157259
 453  -0.471099    -2.7211       2.25        1.5   0.158447
 454  -0.469429   -2.71943       2.25        1.5   0.159589
 455  -0.467737   -2.71774       2.25        1.5   0.160874
 456  -0.466028   -2.71603       2.25        1.5   0.162415
 457  -0.464302    -2.7143       2.25        1.5   0.164011
 458  -0.462564   -2.71256       2.25        1.5   0.165582
 459  -0.460813   -2.71081       2.25        1.5   0.167005
 460  -0.459053   -2.70905       2.25        1.5   0.168701
 461  -0.457286   -2.70729       2.25        1.5   0.170705
 462  -0.455515   -2.70552       2.25        1.5    0.17239
 463  -0.453744   -2.70374       2.25        1.5    0.17433
 464  -0.451975   -2.70197       2.25        1.5   0.176094
 465  -0.45021   -2.70021       2.25        1.5   0.177949
